cells,celltype
SM.GE67G_S082_E1.50,MP
SM.GE67G_S083_E1.50,MP
SM.GE67G_S084_E1.50,MP
SM.GE67G_S086_E1.50,MP
SM.GE67G_S087_E1.50,MP
SM.GE67G_S089_E1.50,MP
SM.GE67G_S090_E1.50,MP
SM.GE67G_S091_E1.50,K
SM.GE67G_S092_E1.50,MP
SM.GE67G_S093_E1.50,MP
SM.GE67G_S094_E1.50,MP
SM.GE67G_S095_E1.50,MP
SM.GE67G_S096_E1.50,MP
SM.GE67G_S170_E1.50,K
SM.GE67G_S171_E1.50,MP
SM.GE67G_S172_E1.50,MP
SM.GE67G_S173_E1.50,MP
SM.GE67G_S174_E1.50,GABA2
SM.GE67G_S175_E1.50,GABA1
SM.GE67G_S176_E1.50,GABA2
SM.GE67G_S177_E1.50,MP
SM.GE67G_S178_E1.50,K
SM.GE67G_S179_E1.50,K
SM.GE67G_S182_E1.50,K
SM.GE67G_S183_E1.50,K
SM.GE67G_S184_E1.50,MP
SM.GE67G_S185_E1.50,MP
SM.GE67G_S186_E1.50,K
SM.GE67G_S187_E1.50,MP
SM.GE67G_S188_E1.50,GABA1
SM.GE67G_S189_E1.50,GABA2
SM.GE67G_S190_E1.50,GABA2
SM.GE67G_S191_E1.50,MP
SM.GE67G_S192_E1.50,MP
SM.GE67H_S041_E1.50,MP
SM.GE67H_S042_E1.50,MP
SM.GE67H_S044_E1.50,MP
SM.GE67H_S045_E1.50,MP
SM.GE67H_S046_E1.50,K
SM.GE67H_S047_E1.50,K
SM.GE67H_S048_E1.50,MP
SM.GE67H_S049_E1.50,GABA2
SM.GE67H_S050_E1.50,MP
SM.GE67H_S051_E1.50,K
SM.GE67H_S052_E1.50,K
SM.GE67H_S053_E1.50,K
SM.GE67H_S054_E1.50,MP
SM.GE67H_S055_E1.50,K
SM.GE67H_S056_E1.50,GABA2
SM.GE67H_S057_E1.50,MP
SM.GE67H_S058_E1.50,GABA2
SM.GE67H_S059_E1.50,MP
SM.GE67H_S060_E1.50,MP
SM.GE67H_S061_E1.50,GABA1
SM.GE67H_S062_E1.50,MP
SM.GE67H_S063_E1.50,GABA2
SM.GE67H_S064_E1.50,MP
SM.GE67H_S073_E1.50,MP
SM.GE67H_S075_E1.50,MP
SM.GE67H_S076_E1.50,MP
SM.GE67H_S077_E1.50,MP
SM.GE67H_S078_E1.50,K
SM.GE67H_S080_E1.50,MP
SM.GE67H_S082_E1.50,MP
SM.GE67H_S083_E1.50,K
SM.GE67H_S084_E1.50,MP
SM.GE67H_S086_E1.50,GABA2
SM.GE67H_S087_E1.50,MP
SM.GE67H_S089_E1.50,K
SM.GE67H_S090_E1.50,GABA2
SM.GE67H_S091_E1.50,MP
SM.GE67H_S092_E1.50,MP
SM.GE67H_S093_E1.50,K
SM.GE67H_S094_E1.50,MP
SM.GE67H_S095_E1.50,MP
SM.GE67H_S096_E1.50,MP
SM.GE67H_S137_E1.50,GABA2
SM.GE67H_S138_E1.50,MP
SM.GE67H_S139_E1.50,K
SM.GE67H_S140_E1.50,MP
SM.GE67H_S144_E1.50,K
SM.GE67H_S146_E1.50,MP
SM.GE67H_S148_E1.50,GABA2
SM.GE67H_S150_E1.50,MP
SM.GE67H_S152_E1.50,K
SM.GE67H_S153_E1.50,MP
SM.GE67H_S154_E1.50,MP
SM.GE67H_S155_E1.50,K
SM.GE67H_S156_E1.50,MP
SM.GE67H_S157_E1.50,K
SM.GE67H_S158_E1.50,MP
SM.GE67H_S159_E1.50,MP
SM.GE67H_S160_E1.50,MP
SM.GE67H_S161_E1.50,GABA2
SM.GE67H_S162_E1.50,MP
SM.GE67H_S163_E1.50,GABA2
SM.GE67H_S164_E1.50,MP
SM.GE67H_S165_E1.50,MP
SM.GE67H_S166_E1.50,GABA2
