cells,celltype
LS.15931_S82_E1.50,MP
LS.15931_S83_E1.50,MP
LS.15931_S84_E1.50,MP
LS.15931_S85_E1.50,MP
LS.15931_S87_E1.50,MP
LS.15931_S89_E1.50,MP
LS.15931_S90_E1.50,MP
LS.15931_S91_E1.50,MP
LS.15931_S92_E1.50,MP
LS.15931_S94_E1.50,MP
LS.15932_S02_E1.50,MP
LS.15932_S03_E1.50,GABA2
LS.15932_S09_E1.50,MP
LS.15932_S12_E1.50,MP
LS.15932_S13_E1.50,GABA1
LS.15932_S14_E1.50,MP
LS.15932_S15_E1.50,MP
LS.15932_S21_E1.50,GABA1
LS.15932_S22_E1.50,GABA2
LS.15932_S27_E1.50,MP
LS.15932_S31_E1.50,GABA1
LS.15932_S33_E1.50,MP
LS.15932_S41_E1.50,MP
LS.15932_S57_E1.50,MP
LS.15932_S58_E1.50,MP
LS.15932_S59_E1.50,GABA1
LS.15932_S60_E1.50,GABA1
LS.15932_S61_E1.50,MP
LS.15932_S63_E1.50,GABA2
LS.15932_S65_E1.50,MP
LS.15932_S68_E1.50,GABA2
LS.15932_S73_E1.50,MP
LS.15932_S74_E1.50,MP
LS.15932_S75_E1.50,MP
LS.15932_S76_E1.50,MP
LS.15932_S79_E1.50,GABA2
LS.15932_S81_E1.50,MP
LS.15932_S82_E1.50,MP
LS.15932_S83_E1.50,MP
LS.15932_S84_E1.50,MP
LS.15932_S85_E1.50,MP
LS.15932_S87_E1.50,MP
LS.15932_S90_E1.50,MP
LS.15932_S91_E1.50,MP
LS.15932_S93_E1.50,MP
LS.15932_S94_E1.50,GABA1
SM.D9CXJ_S09_E1.50,GABA2
SM.D9CXJ_S10_E1.50,MP
SM.D9CXJ_S13_E1.50,GABA1
SM.D9CXJ_S14_E1.50,GABA1
SM.D9CXJ_S17_E1.50,GABA2
SM.D9CXJ_S31_E1.50,GABA2
SM.D9CXJ_S33_E1.50,MP
SM.D9CXJ_S39_E1.50,MP
SM.D9CXJ_S60_E1.50,MP
SM.D9CXJ_S65_E1.50,MP
SM.D9CXJ_S66_E1.50,MP
